"No.","Time","Source","Destination","Protocol","Length","Info"
"101","1.717994","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 62050; Unit:   1, Func:   6: Write Single Register"
"102","1.718034","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=289 Ack=289 Win=10103 Len=0"
"103","1.733817","127.0.0.1","127.0.0.1","Modbus/TCP","93","Response: Trans:   463; Unit:   1, Func:   3: Read Holding Registers"
"104","1.733848","127.0.0.1","127.0.0.1","TCP","44","1615  >  502 [ACK] Seq=25 Ack=99 Win=10150 Len=0"
"105","2.218670","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:   816; Unit:   1, Func:   6: Write Single Register"
"106","2.218718","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=289 Ack=301 Win=10103 Len=0"
"107","2.233661","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:   816; Unit:   1, Func:   6: Write Single Register"
"108","2.233692","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=301 Ack=301 Win=10103 Len=0"
"109","2.233863","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 22907; Unit:   1, Func:   6: Write Single Register"
"110","2.233901","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=301 Ack=313 Win=10103 Len=0"
"111","2.264998","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 22907; Unit:   1, Func:   6: Write Single Register"
"112","2.265050","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=313 Ack=313 Win=10103 Len=0"
"113","2.265227","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 11889; Unit:   1, Func:   6: Write Single Register"
"114","2.265246","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=313 Ack=325 Win=10103 Len=0"
"115","2.296226","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 11889; Unit:   1, Func:   6: Write Single Register"
"116","2.296289","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=325 Ack=325 Win=10103 Len=0"
"117","2.296512","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  8223; Unit:   1, Func:   6: Write Single Register"
"118","2.296555","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=325 Ack=337 Win=10103 Len=0"
"119","2.327632","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  8223; Unit:   1, Func:   6: Write Single Register"
"120","2.327676","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=337 Ack=337 Win=10103 Len=0"
"121","2.327872","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 38855; Unit:   1, Func:   6: Write Single Register"
"122","2.327905","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=337 Ack=349 Win=10103 Len=0"
"123","2.358678","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 38855; Unit:   1, Func:   6: Write Single Register"
